id	H vs not-H
CE_R_09_0388	0
CE_R_09_0432	0
CE_R_09_0542	0
06_2879	0
06_2875	0
08_1714	0
07_7328	0
06_7579	0
07_7331	0
CE_M_10_2040	0
CE_M_10_2079	0
CE_M_10_4053	0
CE_M_10_4054	0
CE_M_10_4055	0
CE_R2_11_0319	0
CE2_R2_11_2007	0
CE2_R_11_2057	0
CE_R_11_0010	0
CE_R_11_0244	0
CE_R_11_0321	0
CE_R2_11_0424	0
CE_R2_11_0493	0
CE_R_10_0563	0
CI_5325	0
CI_5326	0
CI_5327	0
CI_5328	0
CI_5329	0
CI_5330	0
CI_5331	0
CI_5332	0
CI_5357	0
CI_5358	0
CI_5359	0
CI_5425	0
CI_5426	0
CI_5427	0
CI_5428	0
CI_5429	0
CI_5430	0
Ab_12761	0
Ab_12762	0
Ab_12828	0
Ab_12829	0
Ab_12830	0
Ab_12945	0
Ab_12946	0
Ab_12965	0
Ab_12966	0
Ab_12967	0
Ab_12968	0
Ab_12970	0
Ab_12971	0
Ab_12979	0
Ab_12981	0
Ab_12982	0
Ab_12983	0
Ab_12984	0
Ab_12987	0
Ab_12991	0
Ab_13006	0
Ab_13007	0
Ab_13010	0
Ab_13011	0
Ab_13048	0
Ab_13053	0
Ab_13091	0
Ab_13097	0
Ab_13098	0
Ab_13308	0
Ab_13313	0
Ab_13360	0
Ab_13389	0
Ab_13390	0
Ab_13645	0
Ab_13911	0
AMR_10036	0
AMR_10132	0
AMR_1018	0
AMR_10189	0
AMR_10217	0
AMR_10244	0
AMR_10249	0
AMR_10284	0
AMR_10335	0
AMR_10406	0
AMR_10484	0
AMR_1185	0
AMR_1194	0
AMR_1204	0
AMR_1249	0
AMR_1250	0
AMR_1279	0
AMR_1377	0
AMR_1426	0
AMR_146	0
AMR_1690	0
AMR_1743	0
AMR_1969	0
AMR_2056	0
AMR_2202	0
AMR_2229	0
AMR_2337	0
AMR_2479	0
AMR_2608	0
AMR_2618	0
AMR_2620	0
AMR_2771	0
AMR_2836	0
AMR_2849	0
AMR_2902	0
AMR_300	0
AMR_3035	0
AMR_3055	0
AMR_3076	0
AMR_3092	0
AMR_3124	0
AMR_3261	0
AMR_3271	0
AMR_3298	0
AMR_3308	0
AMR_3397	0
AMR_3417	0
AMR_3450	0
AMR_3460	0
AMR_3557	0
AMR_3745	0
