id	Project	Year	Date.num	Province	Region	Source	Sample type	CGF	eCGF	eCGF_100	eCGF95	MLST-ST	MLST-CC
06_5178	FNC	2006	38954	ON	Central	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
07_4429	FNC	2007	39304	ON	Central	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
17_0733	FNC	2017	42774	ON	Central	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_9087	FNC	2018	43396	ON	Central	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_8102	FNC	2018	43364	ON	Central	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_5171	FNC	2018	43291	AB	West	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_1863	FNC	2018	43175	AB	West	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_4717	FNC	2018	43277	AB	West	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
19_05135	FNC	2019	43639	AB	West	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_4718	FNC	2018	43277	AB	West	Human	Blood	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_3472	FNC	2018	43230	AB	West	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
18_5167	FNC	2018	43291	AB	West	Human	Stool	904.002	40	0904.002.002	904.002	137	ST-45 complex
13_090681_0019	MBS	2013	41598	QC	East	Chicken	Carcass	904.002	40	0904.002.002	904.002	137	ST-45 complex
13_090637_0018	MBS	2013	41598	AB	West	Chicken	Fecal	904.002	40	0904.002.002	904.002	137	ST-45 complex
13_037748_0023	MBS	2013	41410	ON	Central	Chicken	Breast	904.002	39	0904.002.002	904.002	137	ST-45 complex
13_076612_0018	MBS	2013	41543	ON	Central	Chicken	Thigh	904.002	40	0904.002.002	904.002	137	ST-45 complex
